Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
University of Wisconsin-StoutMaster's | WI,340,44.10%,0.00%,7.90%,1.20%,0.90%,0.00%,84.10%,0.90%,0.30%,4.70%,10.90%
California State University-StanislausMaster's | CA,340,46.20%,0.60%,13.80%,4.10%,10.30%,0.30%,63.20%,0.30%,5.00%,2.40%,29.40%
Southern Utah UniversityMaster's | UT,340,32.40%,0.30%,3.50%,0.30%,0.90%,0.90%,85.90%,1.50%,5.60%,1.20%,7.30%
Colgate UniversityBaccalaureate | NY,339,44.80%,0.30%,10.90%,4.70%,7.10%,0.00%,70.50%,0.00%,1.50%,5.00%,23.00%
University of Wisconsin at PlattevilleMaster's | WI,339,38.90%,0.30%,10.60%,4.10%,1.80%,0.00%,73.80%,0.30%,0.90%,8.30%,17.10%
University of Alaska at FairbanksDoctoral | AK,337,45.10%,5.00%,8.60%,1.20%,3.00%,0.30%,73.30%,2.70%,3.60%,2.40%,20.80%
Sinclair Community CollegeAssociate | OH,337,58.80%,0.00%,2.70%,11.60%,1.80%,0.60%,81.60%,0.90%,0.30%,0.60%,17.50%
New York Medical CollegeSpecial-Focus | NY,337,29.10%,0.00%,21.40%,2.70%,2.10%,0.00%,70.60%,0.00%,0.30%,3.00%,26.10%
University of Texas at TylerMaster's | TX,337,55.20%,0.00%,11.30%,5.30%,4.50%,0.00%,76.30%,0.00%,2.10%,0.60%,21.10%
University of Detroit MercyMaster's | MI,337,51.30%,0.30%,5.00%,7.10%,2.70%,0.00%,69.40%,0.60%,2.10%,12.80%,15.70%
Delgado Community CollegeAssociate | LA,336,63.70%,0.30%,1.80%,20.80%,5.10%,0.30%,68.80%,2.40%,0.00%,0.60%,30.60%
California Institute of TechnologyDoctoral | CA,336,21.70%,0.00%,13.40%,0.90%,3.90%,0.00%,75.90%,0.30%,0.00%,5.70%,18.40%
Catholic University of AmericaDoctoral | DC,336,38.70%,0.00%,7.40%,2.40%,4.80%,0.00%,57.70%,0.90%,24.10%,2.70%,15.50%
Columbus State Community CollegeAssociate | OH,335,54.00%,0.30%,3.90%,6.90%,1.80%,0.00%,87.20%,0.00%,0.00%,0.00%,12.80%
Rhode Island CollegeMaster's | RI,334,60.80%,0.60%,8.40%,2.70%,3.90%,0.90%,82.00%,1.50%,0.00%,0.00%,18.00%
East Los Angeles CollegeAssociate | CA,334,53.30%,0.00%,16.50%,4.80%,28.10%,0.00%,28.40%,0.30%,20.70%,1.20%,49.70%
Suffolk County Community College Central AdministrationAssociate | NY,334,48.80%,0.00%,7.80%,2.40%,3.60%,0.00%,84.70%,0.90%,0.60%,0.00%,14.70%
Smith CollegeBaccalaureate | MA,334,58.70%,0.30%,9.00%,5.10%,4.50%,0.00%,73.00%,1.50%,0.90%,5.70%,20.40%
West Texas A&M UniversityMaster's | TX,333,47.10%,0.60%,4.80%,0.60%,5.10%,0.00%,80.50%,0.00%,1.20%,7.20%,11.10%
Santa Monica CollegeAssociate | CA,333,56.80%,0.00%,10.80%,11.40%,13.20%,0.30%,50.40%,0.90%,0.90%,12.00%,36.60%
City University of New York Kingsborough Community CollegeAssociate | NY,331,55.00%,0.30%,7.80%,13.00%,7.00%,0.00%,70.40%,0.00%,0.00%,1.50%,28.10%
Georgia College and State UniversityMaster's | GA,331,55.30%,0.30%,7.20%,7.80%,3.90%,0.30%,76.40%,0.60%,1.20%,2.10%,20.20%
State University of New York College at CortlandMaster's | NY,331,53.20%,0.30%,5.40%,3.00%,3.00%,0.00%,84.60%,0.60%,0.00%,3.00%,12.40%
Central New Mexico Community CollegeAssociate | NM,330,59.10%,0.90%,3.60%,1.50%,18.20%,0.00%,67.90%,1.80%,6.10%,0.00%,26.10%
Texas A&M University at KingsvilleDoctoral | TX,330,34.50%,1.50%,15.40%,2.70%,15.80%,0.00%,53.90%,0.60%,0.60%,9.40%,36.10%
Harding UniversityMaster's | AR,329,37.70%,0.00%,0.60%,2.10%,0.90%,0.00%,93.90%,2.40%,0.00%,0.00%,6.10%
New York Institute of Technology at Old WestburyMaster's | NY,325,41.20%,0.30%,18.80%,3.40%,2.50%,0.00%,68.90%,1.20%,0.00%,4.90%,26.20%
Salem State UniversityMaster's | MA,325,52.90%,0.00%,11.10%,6.80%,4.60%,0.00%,74.20%,0.00%,3.40%,0.00%,22.50%
Jacksonville State UniversityMaster's | AL,324,50.90%,0.30%,4.30%,6.50%,1.20%,0.00%,84.30%,0.00%,0.30%,3.10%,12.30%
Fullerton CollegeAssociate | CA,324,50.90%,0.30%,8.90%,3.40%,19.40%,0.30%,54.30%,2.80%,7.10%,3.40%,35.20%
Sacramento City CollegeAssociate | CA,324,55.60%,0.90%,9.90%,8.00%,11.70%,0.00%,61.10%,3.10%,4.00%,1.20%,33.60%
Del Mar CollegeAssociate | TX,323,48.90%,1.20%,4.60%,0.60%,26.90%,0.30%,65.60%,0.00%,0.60%,0.00%,33.80%
Cerritos CollegeAssociate | CA,323,57.00%,0.30%,10.20%,5.30%,29.70%,0.00%,53.90%,0.00%,0.60%,0.00%,45.50%
University of Louisiana at MonroeDoctoral | LA,323,59.10%,0.60%,4.00%,6.20%,1.90%,0.00%,86.70%,0.60%,0.00%,0.00%,13.30%
University of Nebraska at KearneyMaster's | NE,322,47.80%,0.30%,6.50%,1.60%,2.50%,0.00%,85.70%,0.90%,0.00%,2.50%,11.80%
Regis UniversityMaster's | CO,322,59.30%,0.00%,3.10%,3.10%,6.50%,0.00%,86.30%,0.60%,0.00%,0.30%,13.40%
Oberlin CollegeBaccalaureate | OH,321,44.50%,0.00%,6.90%,4.70%,4.00%,0.00%,68.80%,2.20%,1.30%,12.20%,17.80%
Williams CollegeBaccalaureate | MA,320,44.70%,0.00%,10.00%,6.60%,7.20%,0.00%,69.10%,2.20%,0.00%,5.00%,25.90%
Morehead State UniversityMaster's | KY,320,48.10%,0.00%,5.30%,3.40%,2.80%,0.00%,87.80%,0.30%,0.00%,0.30%,11.90%
Wellesley CollegeBaccalaureate | MA,319,63.00%,0.30%,11.30%,4.40%,5.30%,0.00%,73.70%,0.30%,1.60%,3.10%,21.60%
Northwestern State UniversityMaster's | LA,319,60.80%,0.60%,1.30%,5.30%,5.00%,0.00%,82.50%,0.90%,0.30%,4.10%,13.20%
Middlebury CollegeBaccalaureate | VT,319,45.50%,0.00%,4.70%,2.80%,5.30%,0.60%,64.60%,0.90%,18.50%,2.50%,14.40%
Long Beach City CollegeAssociate | CA,319,58.00%,0.60%,11.60%,8.20%,17.20%,0.60%,58.00%,0.00%,0.00%,3.80%,38.20%
Greenville Technical CollegeAssociate | SC,319,59.30%,0.00%,2.50%,10.70%,1.90%,0.00%,85.00%,0.00%,0.00%,0.00%,15.00%
Johnson County Community CollegeAssociate | KS,318,50.30%,0.30%,3.10%,1.60%,1.60%,0.00%,90.60%,1.90%,0.90%,0.00%,8.50%
Winona State UniversityMaster's | MN,318,49.70%,0.00%,7.50%,2.50%,3.50%,0.30%,75.80%,0.60%,8.20%,1.60%,14.50%
Sacred Heart UniversityMaster's | CT,317,58.70%,0.00%,5.40%,3.10%,0.90%,0.00%,86.40%,0.90%,1.60%,1.60%,10.40%
Shippensburg University of PennsylvaniaMaster's | PA,316,42.10%,0.30%,7.90%,5.10%,2.90%,0.60%,80.40%,0.30%,0.00%,2.50%,17.10%
Embry-Riddle Aeronautical University at Daytona Beach (Fla.)Master's | FL,316,27.50%,0.00%,11.10%,1.90%,4.40%,0.30%,77.20%,0.30%,0.30%,4.40%,18.00%
Tyler Junior CollegeAssociate | TX,316,57.00%,0.90%,0.00%,6.30%,2.50%,0.00%,88.90%,0.30%,0.60%,0.30%,10.10%
Columbus State UniversityMaster's | GA,315,43.50%,0.30%,10.20%,10.50%,4.10%,0.00%,68.60%,0.60%,2.20%,3.50%,25.70%
Santa Rosa Junior CollegeAssociate | CA,315,60.00%,1.30%,8.30%,1.60%,9.20%,0.00%,74.00%,1.90%,3.80%,0.00%,22.20%
High Point UniversityBaccalaureate | NC,314,48.40%,0.00%,3.80%,3.80%,3.80%,0.00%,87.60%,1.00%,0.00%,0.00%,12.40%
United States Naval AcademyBaccalaureate | MD,314,32.80%,0.60%,6.70%,3.50%,3.80%,0.30%,84.70%,0.30%,0.00%,0.00%,15.30%
Rutgers University at CamdenMaster's | NJ,313,46.70%,0.00%,9.30%,4.20%,2.60%,0.00%,52.70%,0.30%,20.80%,10.20%,16.30%
Fayetteville Technical Community CollegeAssociate | NC,313,56.20%,2.20%,1.60%,20.40%,3.20%,0.00%,71.60%,0.30%,0.60%,0.00%,27.80%
Valparaiso UniversityMaster's | IN,312,46.20%,0.30%,7.00%,1.30%,1.90%,0.00%,51.90%,0.00%,35.30%,2.20%,10.60%
Monmouth UniversityMaster's | NJ,312,55.80%,0.00%,9.30%,3.50%,2.60%,0.00%,82.40%,0.30%,0.00%,1.90%,15.70%
Colorado School of MinesDoctoral | CO,312,29.50%,0.30%,12.80%,1.30%,3.50%,0.30%,75.60%,1.30%,0.30%,4.50%,19.60%
Southern UniversityMaster's | LA,311,49.50%,1.60%,10.90%,76.20%,2.30%,0.00%,9.00%,0.00%,0.00%,0.00%,91.00%
Fox Valley Technical CollegeAssociate | WI,310,41.90%,0.30%,1.30%,0.30%,1.00%,0.00%,95.20%,0.00%,1.90%,0.00%,2.90%
California State University at BakersfieldMaster's | CA,310,46.10%,0.30%,14.20%,3.50%,14.50%,0.70%,55.80%,1.30%,2.30%,7.40%,34.50%
Barry UniversityDoctoral | FL,310,56.80%,1.00%,6.80%,7.70%,14.50%,0.00%,60.00%,1.30%,7.40%,1.30%,31.30%
Drake UniversityMaster's | IA,309,48.90%,0.70%,6.20%,1.90%,1.90%,0.30%,85.80%,2.30%,1.00%,0.00%,13.30%
Purdue University NorthwestMaster's | IN,307,46.60%,0.00%,18.20%,3.30%,4.90%,0.30%,61.20%,0.00%,5.50%,6.50%,26.70%
Hillsborough Community CollegeAssociate | FL,306,57.50%,1.30%,3.60%,9.80%,9.50%,0.00%,75.50%,0.30%,0.00%,0.00%,24.50%
Angelo State UniversityMaster's | TX,306,47.40%,1.30%,5.20%,2.30%,8.20%,0.00%,82.00%,0.00%,1.00%,0.00%,17.00%
Western University of Health SciencesSpecial-Focus | CA,305,54.40%,0.00%,21.30%,2.90%,5.90%,0.00%,43.30%,3.90%,10.20%,12.50%,34.10%
Harrisburg Area Community CollegeAssociate | PA,305,62.60%,1.00%,3.30%,3.30%,1.60%,0.70%,84.90%,2.90%,2.00%,0.30%,12.80%
Mesa Community CollegeAssociate | AZ,304,54.30%,0.70%,4.30%,5.90%,6.90%,0.00%,81.30%,1.00%,0.00%,0.00%,18.80%
University of North Carolina at PembrokeMaster's | NC,303,54.80%,6.30%,7.30%,6.60%,5.30%,0.00%,70.60%,1.30%,0.00%,2.60%,26.70%
Truman State UniversityMaster's | MO,301,41.20%,0.00%,6.30%,1.00%,2.00%,0.00%,86.70%,0.00%,0.70%,3.30%,9.30%
City University of New York Bronx Community CollegeAssociate | NY,301,46.50%,0.30%,9.60%,16.60%,15.60%,0.00%,49.80%,1.70%,0.30%,6.00%,43.90%
Northern Michigan UniversityMaster's | MI,300,44.00%,0.30%,3.00%,2.00%,1.30%,0.00%,85.00%,0.30%,0.00%,8.00%,7.00%
Providence CollegeMaster's | RI,300,40.70%,0.30%,5.00%,4.00%,5.70%,0.00%,81.70%,0.70%,0.00%,2.70%,15.70%
Community College of Rhode IslandAssociate | RI,300,64.00%,1.00%,2.30%,3.30%,1.00%,0.00%,92.30%,0.00%,0.00%,0.00%,7.70%
Northeastern Illinois UniversityMaster's | IL,299,54.90%,0.30%,12.00%,7.00%,9.70%,0.00%,60.90%,0.00%,8.40%,1.70%,29.10%
University of Michigan at FlintMaster's | MI,299,53.50%,1.00%,8.00%,7.40%,1.70%,0.00%,75.60%,1.00%,1.70%,3.70%,19.10%
Arizona State University-WestMaster's | AZ,298,58.40%,1.00%,8.70%,3.00%,11.40%,0.30%,70.80%,1.30%,1.70%,1.70%,25.80%
Indiana Wesleyan UniversityMaster's | IN,298,47.60%,0.00%,2.70%,6.40%,2.00%,0.00%,87.30%,0.70%,0.70%,0.30%,11.70%
Tidewater Community CollegeAssociate | VA,298,51.30%,0.30%,3.70%,14.40%,1.70%,0.00%,76.20%,3.70%,0.00%,0.00%,23.80%
Saint Joseph's University (Pa.)Master's | PA,297,45.50%,0.00%,8.40%,4.00%,3.00%,0.00%,72.00%,1.00%,8.80%,2.70%,16.50%
Pittsburg State UniversityMaster's | KS,296,43.90%,0.70%,6.10%,2.00%,1.40%,0.00%,89.50%,0.30%,0.00%,0.00%,10.50%
Skidmore CollegeBaccalaureate | NY,296,54.70%,0.00%,6.10%,1.00%,4.00%,0.00%,80.10%,3.00%,0.30%,5.40%,14.20%
Pacific UniversityMaster's | OR,295,54.90%,1.00%,7.50%,0.70%,4.10%,0.00%,78.60%,1.00%,5.40%,1.70%,14.20%
University of IndianapolisMaster's | IN,293,58.70%,0.00%,2.40%,4.40%,2.40%,0.00%,85.70%,1.00%,0.30%,3.80%,10.20%
Johnson & Wales University (R.I.)Master's | RI,292,44.90%,0.00%,2.40%,1.00%,3.10%,0.00%,90.40%,1.00%,1.70%,0.30%,7.50%
Monroe Community CollegeAssociate | NY,291,54.60%,0.70%,3.10%,6.50%,5.10%,0.00%,82.80%,1.70%,0.00%,0.00%,17.20%
Monroe Community CollegeAssociate | NY,291,54.60%,0.70%,3.10%,6.50%,5.10%,0.00%,82.80%,1.70%,0.00%,0.00%,17.20%
Bentley UniversityMaster's | MA,291,40.90%,0.00%,9.60%,4.80%,1.40%,0.00%,78.30%,0.30%,2.40%,3.10%,16.20%
Colorado Mesa UniversityBaccalaureate | CO,291,46.40%,0.00%,1.70%,0.30%,2.80%,0.00%,80.10%,0.30%,10.70%,4.10%,5.10%
Humboldt State UniversityMaster's | CA,290,50.00%,3.10%,4.10%,2.40%,5.20%,0.00%,74.10%,0.70%,7.60%,2.80%,15.50%
Florida Institute of TechnologyDoctoral | FL,290,24.80%,1.70%,11.40%,1.70%,6.90%,5.50%,71.40%,0.30%,1.00%,0.00%,27.60%
Millersville University of PennsylvaniaMaster's | PA,289,49.10%,0.40%,7.60%,4.80%,6.20%,0.00%,77.20%,0.40%,2.40%,1.00%,19.40%
Guilford Technical Community CollegeAssociate | NC,289,47.10%,0.40%,1.00%,13.50%,1.40%,0.00%,83.40%,0.00%,0.40%,0.00%,16.30%
Northeastern State UniversityMaster's | OK,289,52.60%,8.00%,3.80%,1.70%,0.40%,0.00%,72.30%,7.60%,1.00%,5.20%,21.40%
Hampton UniversityMaster's | VA,288,52.10%,1.40%,12.50%,60.10%,3.50%,0.00%,22.60%,0.00%,0.00%,0.00%,77.40%
Cape Fear Community CollegeAssociate | NC,288,54.20%,0.70%,0.70%,3.80%,1.40%,0.00%,91.70%,1.70%,0.00%,0.00%,8.30%
Winston-Salem State UniversityMaster's | NC,288,58.00%,0.00%,7.60%,55.20%,1.40%,0.00%,32.60%,0.70%,0.40%,2.10%,64.90%
San Antonio CollegeAssociate | TX,288,52.40%,0.40%,4.20%,6.30%,30.60%,0.40%,54.50%,3.80%,0.00%,0.00%,45.50%
College of the Holy CrossBaccalaureate | MA,288,48.30%,0.00%,4.90%,3.10%,5.90%,0.00%,76.70%,1.00%,2.40%,5.90%,14.90%
Indiana University-Purdue University at Fort WayneMaster's | IN,288,40.30%,1.40%,15.30%,3.50%,3.50%,0.00%,69.10%,1.00%,0.40%,5.90%,24.60%
University of Houston-Clear LakeMaster's | TX,287,47.70%,0.00%,15.30%,5.60%,6.60%,0.40%,64.50%,1.70%,0.40%,5.60%,29.60%
State University of New York College at OneontaMaster's | NY,287,47.70%,0.00%,12.50%,4.50%,3.50%,0.00%,72.80%,0.40%,0.00%,6.30%,20.90%
Biola UniversityDoctoral | CA,286,36.70%,0.40%,14.70%,3.50%,5.90%,0.00%,74.80%,0.40%,0.40%,0.00%,24.80%
Pennsylvania State University at ErieBaccalaureate | PA,286,32.90%,0.40%,7.00%,1.40%,1.40%,0.00%,61.50%,0.70%,19.20%,8.40%,10.80%
Western Oregon UniversityMaster's | OR,286,54.90%,0.00%,3.90%,1.40%,5.60%,0.00%,78.30%,1.10%,7.30%,2.50%,11.90%
Winthrop UniversityMaster's | SC,285,55.80%,0.40%,4.90%,9.80%,1.80%,0.40%,81.00%,0.00%,0.00%,1.80%,17.20%
University of Tennessee at MartinMaster's | TN,285,45.30%,0.00%,4.20%,3.90%,2.10%,0.00%,88.10%,0.00%,0.00%,1.80%,10.20%
University of New EnglandMaster's | ME,284,57.80%,0.40%,6.30%,1.10%,0.70%,0.40%,86.30%,0.40%,2.50%,2.10%,9.20%
Palomar CollegeAssociate | CA,284,51.80%,1.40%,6.70%,2.10%,15.10%,0.00%,70.80%,1.10%,2.80%,0.00%,26.40%
Pennsylvania College of TechnologyBaccalaureate | PA,284,29.60%,0.00%,2.50%,0.40%,1.10%,0.40%,95.10%,0.00%,0.70%,0.00%,4.20%
Erie Community College City CampusAssociate | NY,284,51.10%,0.40%,2.10%,5.30%,2.50%,0.00%,88.40%,0.70%,0.70%,0.00%,10.90%
Vassar CollegeBaccalaureate | NY,282,47.90%,0.40%,9.60%,7.10%,6.70%,0.00%,67.00%,1.80%,3.50%,3.90%,25.50%
Christopher Newport UniversityMaster's | VA,282,43.30%,0.00%,4.60%,3.20%,1.10%,0.00%,85.50%,0.00%,0.00%,5.70%,8.90%
Diablo Valley CollegeAssociate | CA,282,47.50%,0.70%,11.00%,6.40%,10.60%,0.40%,59.20%,2.10%,9.60%,0.00%,31.20%
University of New OrleansDoctoral | LA,282,36.50%,0.00%,9.90%,6.70%,3.50%,0.00%,76.20%,0.00%,0.00%,3.50%,20.20%
University of Southern MaineMaster's | ME,282,52.80%,0.70%,2.50%,2.10%,2.50%,0.00%,81.20%,0.40%,7.80%,2.80%,8.20%
Fairfield UniversityMaster's | CT,282,55.30%,0.00%,3.50%,2.80%,2.10%,0.00%,83.70%,0.00%,2.10%,5.70%,8.50%
Stevens Institute of TechnologyDoctoral | NJ,281,26.00%,0.40%,17.80%,0.70%,1.80%,0.00%,57.30%,0.00%,0.00%,22.10%,20.60%
San Diego Mesa CollegeAssociate | CA,281,52.70%,0.00%,6.40%,7.50%,11.70%,0.40%,55.90%,0.70%,17.10%,0.40%,26.70%
Lindenwood UniversityDoctoral | MO,281,50.50%,0.40%,3.20%,5.30%,2.10%,0.00%,87.50%,1.40%,0.00%,0.00%,12.50%
National UniversityMaster's | CA,278,55.00%,0.40%,11.20%,6.10%,7.20%,0.40%,65.50%,1.80%,7.50%,0.00%,27.00%
College of DuPageAssociate | IL,278,48.90%,0.70%,9.00%,4.00%,3.20%,0.00%,81.70%,0.00%,1.40%,0.00%,16.90%
Mississippi Gulf Coast Community College Perkinston CampusAssociate | MS,277,58.50%,0.00%,0.40%,9.00%,0.40%,0.00%,88.40%,1.10%,0.70%,0.00%,10.80%
Tulsa Community CollegeAssociate | OK,277,64.30%,6.50%,1.10%,6.10%,2.20%,0.70%,77.30%,6.10%,0.00%,0.00%,22.70%
Orange Coast CollegeAssociate | CA,275,51.30%,0.00%,10.50%,2.90%,11.60%,0.40%,68.40%,1.10%,1.80%,3.30%,26.60%
Franklin & Marshall CollegeBaccalaureate | PA,274,47.40%,0.00%,4.70%,1.50%,4.70%,0.00%,79.20%,0.70%,6.20%,2.90%,11.70%
California University of PennsylvaniaMaster's | PA,274,52.20%,0.00%,4.70%,7.70%,1.50%,0.00%,84.30%,0.40%,0.00%,1.50%,14.20%
Columbia College ChicagoMaster's | IL,274,46.40%,0.00%,2.90%,9.50%,3.60%,0.00%,78.50%,0.40%,5.10%,0.00%,16.40%
Sonoma State UniversityMaster's | CA,273,50.50%,0.40%,8.40%,1.10%,7.70%,0.00%,71.10%,1.80%,5.90%,3.70%,19.40%
Washburn UniversityMaster's | KS,273,56.40%,0.70%,3.30%,1.50%,3.70%,0.00%,76.20%,1.50%,13.20%,0.00%,10.60%
Pima Community CollegeAssociate | AZ,272,58.50%,0.70%,4.00%,1.10%,12.90%,0.00%,76.50%,2.90%,1.50%,0.40%,21.70%
Furman UniversityBaccalaureate | SC,272,40.40%,0.40%,5.90%,4.40%,2.20%,0.00%,82.30%,1.10%,0.40%,3.30%,14.00%
Grossmont CollegeAssociate | CA,272,57.00%,0.70%,8.10%,4.40%,13.60%,0.40%,62.90%,0.00%,2.60%,7.30%,27.20%
University of ScrantonMaster's | PA,272,41.90%,0.00%,1.10%,1.10%,2.20%,5.50%,86.80%,0.00%,0.70%,2.60%,9.90%
University of Washington at TacomaMaster's | WA,272,52.60%,0.40%,12.50%,2.90%,6.60%,0.70%,60.30%,2.60%,7.30%,6.60%,25.70%
Widener UniversityDoctoral | PA,272,55.10%,0.40%,11.00%,5.50%,1.50%,0.00%,81.60%,0.00%,0.00%,0.00%,18.40%
Glendale Community College (Ariz.)Associate | AZ,271,53.90%,0.00%,4.10%,2.90%,10.30%,0.00%,80.40%,1.50%,0.70%,0.00%,18.80%
De Anza CollegeAssociate | CA,270,55.90%,0.70%,20.00%,6.70%,15.90%,0.00%,49.60%,1.80%,4.40%,0.70%,45.20%
Longwood UniversityMaster's | VA,270,53.70%,0.00%,2.60%,2.60%,1.80%,0.00%,90.40%,0.00%,0.00%,2.60%,7.00%
Midwestern University (Ariz.)Special-Focus | AZ,269,49.80%,0.00%,8.60%,3.00%,3.40%,0.00%,80.70%,1.90%,0.00%,2.60%,16.70%
Stetson UniversityMaster's | FL,269,48.00%,0.00%,3.00%,4.80%,6.30%,0.00%,77.30%,2.20%,2.20%,4.10%,16.40%
United States Military AcademyBaccalaureate | NY,269,30.10%,0.00%,4.80%,3.00%,1.10%,0.00%,89.60%,1.50%,0.00%,0.00%,10.40%
Campbell UniversityMaster's | NC,268,44.00%,0.00%,5.20%,4.90%,2.60%,0.00%,86.90%,0.00%,0.40%,0.00%,12.70%
Fayetteville State UniversityMaster's | NC,267,47.60%,0.40%,13.50%,40.80%,2.30%,0.40%,34.50%,0.00%,3.80%,4.50%,57.30%
State University of New York College at PlattsburghMaster's | NY,266,47.00%,1.10%,4.50%,1.90%,4.10%,0.00%,82.30%,0.80%,0.00%,5.30%,12.40%
Lincoln Memorial UniversityMaster's | TN,266,59.00%,0.40%,3.40%,2.30%,2.30%,0.00%,75.60%,0.00%,16.20%,0.00%,8.30%
Abilene Christian UniversityMaster's | TX,266,40.60%,0.40%,1.10%,4.50%,4.10%,0.00%,87.60%,1.50%,0.00%,0.80%,11.70%
Chaffey CollegeAssociate | CA,266,60.90%,0.40%,9.80%,5.30%,21.10%,0.00%,60.20%,1.90%,1.10%,0.40%,38.40%
Brevard Community CollegeAssociate | FL,265,57.40%,0.00%,3.80%,7.90%,3.40%,0.00%,81.90%,2.60%,0.40%,0.00%,17.70%
University of North AlabamaMaster's | AL,264,48.50%,0.40%,4.20%,5.30%,2.60%,0.40%,82.20%,2.30%,0.40%,2.30%,15.20%
University of New HavenMaster's | CT,264,34.80%,0.40%,9.80%,4.90%,6.10%,0.00%,78.00%,0.80%,0.00%,0.00%,22.00%
Tuskegee UniversityMaster's | AL,263,39.50%,0.00%,12.90%,66.90%,0.80%,1.10%,3.40%,0.00%,14.80%,0.00%,81.80%
Northeast Wisconsin Technical CollegeAssociate | WI,263,47.90%,1.90%,1.90%,0.40%,0.40%,0.00%,95.40%,0.00%,0.00%,0.00%,4.60%
Middle Georgia State CollegeBaccalaureate | GA,262,50.00%,0.00%,5.00%,12.20%,3.00%,0.00%,75.60%,0.00%,0.80%,3.40%,20.20%
University of PortlandMaster's | OR,262,54.20%,0.00%,2.30%,0.80%,3.40%,0.00%,66.00%,1.90%,19.50%,6.10%,8.40%
Trident Technical CollegeAssociate | SC,261,55.60%,0.80%,0.80%,12.60%,2.30%,0.00%,81.20%,2.30%,0.00%,0.00%,18.80%
Kirkwood Community CollegeAssociate | IA,260,45.00%,0.00%,0.40%,0.40%,1.90%,0.00%,96.50%,0.80%,0.00%,0.00%,3.50%
South Plains CollegeAssociate | TX,259,49.80%,0.00%,2.30%,2.30%,7.70%,0.00%,87.30%,0.40%,0.00%,0.00%,12.70%
Shenandoah UniversityDoctoral | VA,259,59.10%,0.00%,5.80%,5.40%,1.90%,0.40%,84.90%,0.40%,0.40%,0.80%,13.90%
Alabama A&M UniversityMaster's | AL,259,46.70%,0.40%,9.70%,65.60%,0.00%,0.00%,12.40%,0.00%,0.40%,11.60%,75.70%
University of La VerneDoctoral | CA,259,54.80%,0.40%,10.80%,5.80%,9.70%,0.00%,53.30%,0.00%,20.10%,0.00%,26.60%
Modesto Junior CollegeAssociate | CA,258,53.90%,1.20%,4.30%,5.80%,14.30%,0.40%,67.40%,0.40%,5.80%,0.40%,26.40%
Nicholls State UniversityMaster's | LA,258,54.30%,0.00%,4.30%,5.00%,1.20%,0.00%,84.10%,0.00%,0.40%,5.00%,10.50%
Virginia State UniversityMaster's | VA,258,49.20%,0.00%,11.20%,65.10%,1.20%,0.00%,22.50%,0.00%,0.00%,0.00%,77.50%
Denison UniversityBaccalaureate | OH,257,44.40%,0.00%,3.10%,4.30%,3.50%,3.90%,66.50%,0.40%,1.60%,16.70%,15.20%
St. Catherine UniversityMaster's | MN,257,79.80%,0.80%,5.50%,3.50%,3.10%,0.00%,86.00%,1.20%,0.00%,0.00%,14.00%
State University of New York College at GeneseoMaster's | NY,257,44.40%,0.40%,8.60%,3.10%,1.90%,0.00%,79.40%,0.40%,0.00%,6.20%,14.40%
McNeese State UniversityMaster's | LA,257,49.80%,0.00%,8.90%,3.90%,1.20%,0.00%,80.20%,0.40%,0.80%,4.70%,14.40%
Anne Arundel Community CollegeAssociate | MD,255,62.40%,0.40%,6.30%,10.60%,2.00%,0.00%,79.20%,0.00%,1.60%,0.00%,19.20%
Trinity UniversityMaster's | TX,255,42.80%,0.40%,7.40%,2.80%,11.00%,0.00%,75.70%,0.00%,1.20%,1.60%,21.60%
Eastern Virginia Medical SchoolSpecial-Focus | VA,255,48.20%,0.00%,10.20%,7.10%,1.20%,2.40%,78.40%,0.80%,0.00%,0.00%,21.60%
University of Mary WashingtonMaster's | VA,254,48.80%,0.00%,9.40%,5.50%,4.30%,0.00%,80.70%,0.00%,0.00%,0.00%,19.30%
Riverside Community College DistrictAssociate | CA,254,52.00%,0.00%,5.50%,4.30%,17.30%,0.00%,66.50%,2.40%,0.00%,3.90%,29.50%
New Jersey City UniversityMaster's | NJ,254,49.20%,0.00%,16.90%,11.00%,9.40%,0.00%,57.50%,0.00%,5.10%,0.00%,37.40%
Norfolk State UniversityMaster's | VA,253,50.60%,0.40%,10.30%,58.10%,2.00%,0.00%,25.30%,0.00%,0.00%,4.00%,70.80%
University of North Texas Health Science Center at Fort WorthSpecial-Focus | TX,252,49.20%,1.20%,24.60%,4.80%,4.80%,0.00%,55.20%,1.60%,3.60%,4.40%,36.90%
East Stroudsburg University of PennsylvaniaMaster's | PA,252,50.40%,0.00%,9.90%,3.60%,3.20%,0.00%,79.00%,0.40%,0.00%,4.00%,17.10%
Lafayette CollegeBaccalaureate | PA,252,42.10%,0.40%,5.20%,3.60%,4.00%,0.00%,76.20%,3.20%,3.20%,4.40%,16.30%
Indian River State CollegeBaccalaureate | FL,251,53.80%,1.20%,3.60%,12.30%,6.00%,0.80%,76.10%,0.00%,0.00%,0.00%,23.90%
Los Angeles Pierce CollegeAssociate | CA,250,57.60%,0.00%,10.40%,5.60%,8.80%,0.40%,62.00%,1.60%,11.20%,0.00%,26.80%
